Data;25463 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Cheque especial - % a.m.;25464 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado - % a.m.;25465 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - % a.m.;25466 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - % a.m.;25467 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público - % a.m.;25468 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS - % a.m.;25469 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado total - % a.m.;25470 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.m.;25471 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - % a.m.;25472 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Aquisição de outros bens - % a.m.
07/2009;8,54 ;-;-;-;-;-;2,08 ;3,13 ;2,01 ;-
08/2009;8,32 ;-;-;-;-;-;2,05 ;3,10 ;1,96 ;-
09/2009;8,38 ;-;-;-;-;-;2,02 ;3,13 ;1,87 ;-
10/2009;8,29 ;-;-;-;-;-;2,03 ;3,19 ;1,91 ;-
11/2009;8,40 ;-;-;-;-;-;2,01 ;3,06 ;1,90 ;-
12/2009;8,26 ;-;-;-;-;-;2,03 ;3,11 ;1,90 ;-
01/2010;8,32 ;-;-;-;-;-;2,03 ;3,13 ;1,89 ;-
02/2010;8,27 ;-;-;-;-;-;2,03 ;3,07 ;1,82 ;-
03/2010;8,30 ;-;-;-;-;-;2,03 ;3,01 ;1,78 ;-
04/2010;8,33 ;-;-;-;-;-;2,01 ;3,02 ;1,78 ;-
05/2010;8,30 ;-;-;-;-;-;2,01 ;3,03 ;1,86 ;-
06/2010;8,46 ;-;-;-;-;-;2,02 ;2,96 ;1,78 ;-
07/2010;8,54 ;-;-;-;-;-;2,00 ;2,98 ;1,81 ;-
08/2010;8,48 ;-;-;-;-;-;1,97 ;2,96 ;1,77 ;-
09/2010;8,53 ;-;-;-;-;-;1,94 ;2,94 ;1,76 ;-
10/2010;8,41 ;-;-;-;-;-;1,94 ;3,06 ;1,78 ;-
11/2010;8,61 ;-;-;-;-;-;1,95 ;2,96 ;1,72 ;-
12/2010;8,65 ;-;-;-;-;-;2,06 ;3,09 ;1,89 ;-
01/2011;8,72 ;-;-;-;-;-;2,12 ;3,34 ;2,02 ;-
02/2011;8,54 ;-;-;-;-;-;2,09 ;3,32 ;2,03 ;-
03/2011;7,77 ;4,72 ;4,11 ;2,60 ;2,02 ;2,31 ;2,16 ;3,02 ;2,08 ;4,81
04/2011;7,87 ;4,86 ;4,26 ;2,62 ;2,07 ;2,33 ;2,19 ;3,10 ;2,11 ;4,65
05/2011;7,93 ;4,89 ;4,27 ;2,60 ;2,06 ;2,35 ;2,19 ;3,11 ;2,10 ;4,76
06/2011;7,96 ;4,90 ;4,08 ;2,60 ;2,02 ;2,34 ;2,17 ;3,10 ;2,08 ;4,78
07/2011;7,99 ;5,03 ;4,16 ;2,56 ;1,99 ;2,33 ;2,14 ;3,13 ;2,08 ;4,78
08/2011;7,98 ;4,96 ;4,07 ;2,61 ;1,99 ;2,33 ;2,14 ;3,10 ;2,04 ;4,79
09/2011;7,98 ;4,96 ;3,92 ;2,63 ;2,00 ;2,33 ;2,15 ;3,11 ;1,96 ;4,80
10/2011;7,99 ;5,06 ;3,75 ;2,62 ;2,00 ;2,32 ;2,15 ;3,15 ;1,96 ;4,65
11/2011;8,02 ;4,84 ;3,63 ;2,57 ;1,97 ;2,30 ;2,12 ;3,05 ;1,94 ;4,69
12/2011;7,97 ;4,67 ;3,47 ;2,56 ;1,96 ;2,25 ;2,10 ;2,99 ;1,89 ;4,91
01/2012;7,96 ;5,03 ;3,59 ;2,58 ;1,97 ;2,28 ;2,11 ;3,13 ;1,91 ;4,79
02/2012;7,96 ;5,09 ;3,75 ;2,59 ;1,97 ;2,29 ;2,12 ;3,16 ;1,92 ;4,82
03/2012;7,97 ;4,89 ;3,42 ;2,56 ;1,97 ;2,29 ;2,12 ;3,08 ;1,90 ;4,77
04/2012;7,72 ;4,63 ;3,43 ;2,45 ;1,91 ;2,20 ;2,04 ;2,93 ;1,86 ;4,62
05/2012;7,57 ;4,40 ;3,10 ;2,39 ;1,86 ;2,12 ;1,98 ;2,80 ;1,71 ;4,60
06/2012;7,50 ;4,34 ;2,85 ;2,32 ;1,82 ;2,03 ;1,92 ;2,74 ;1,55 ;4,53
07/2012;7,04 ;4,46 ;2,89 ;2,28 ;1,79 ;2,02 ;1,90 ;2,76 ;1,58 ;4,36
08/2012;6,96 ;4,43 ;2,91 ;2,25 ;1,75 ;2,01 ;1,87 ;2,72 ;1,55 ;4,46
09/2012;6,96 ;4,36 ;2,90 ;2,30 ;1,76 ;2,03 ;1,89 ;2,71 ;1,61 ;4,50
