Data;25454 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Compror - % a.m.;25455 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito rotativo - % a.m.;25456 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito parcelado - % a.m.;25457 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito total - % a.m.;25458 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC) - % a.m.;25459 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a importações - % a.m.;25460 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Financiamento a exportações - % a.m.;25461 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas jurídicas - Repasse externo - % a.m.;25462 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.m.;27643 - Taxa média mensal de juros das operações de crédito não rotativo com recursos livres - Pessoas físicas - Total - % a.m.
06/2014;1,41 ;9,96 ;1,58 ;3,88 ;0,27 ;1,03 ;1,04 ;1,14 ;3,32 ;2,80
07/2014;1,39 ;9,91 ;2,08 ;3,67 ;0,23 ;1,06 ;1,08 ;0,90 ;3,32 ;2,82
08/2014;1,40 ;9,91 ;1,71 ;3,66 ;0,22 ;1,08 ;1,09 ;1,14 ;3,34 ;2,82
09/2014;1,37 ;9,89 ;1,91 ;3,62 ;0,24 ;1,22 ;1,08 ;0,95 ;3,29 ;2,77
10/2014;1,40 ;10,02 ;2,45 ;3,78 ;0,21 ;1,09 ;1,15 ;1,22 ;3,39 ;2,84
11/2014;1,44 ;9,98 ;2,34 ;3,95 ;0,24 ;1,19 ;1,10 ;1,11 ;3,42 ;2,83
12/2014;1,40 ;9,91 ;1,94 ;3,83 ;0,22 ;1,16 ;1,13 ;1,11 ;3,35 ;2,79
01/2015;1,45 ;9,82 ;2,56 ;4,02 ;0,17 ;1,03 ;1,13 ;1,15 ;3,49 ;2,91
02/2015;1,56 ;9,74 ;2,01 ;4,11 ;0,23 ;1,26 ;1,14 ;1,29 ;3,61 ;2,96
03/2015;1,54 ;9,93 ;2,22 ;3,99 ;0,23 ;1,22 ;1,22 ;1,12 ;3,61 ;2,93
04/2015;1,63 ;10,02 ;2,57 ;4,18 ;0,21 ;0,85 ;1,24 ;1,17 ;3,71 ;3,02
05/2015;1,63 ;10,22 ;2,49 ;4,39 ;0,21 ;1,40 ;1,22 ;1,26 ;3,79 ;3,04
06/2015;1,66 ;10,43 ;2,09 ;4,47 ;0,24 ;1,21 ;1,22 ;1,34 ;3,86 ;3,06
07/2015;1,69 ;10,90 ;2,70 ;4,69 ;0,22 ;1,31 ;1,25 ;1,18 ;3,93 ;3,09
08/2015;1,72 ;11,01 ;2,90 ;4,86 ;0,24 ;1,40 ;1,22 ;1,28 ;4,00 ;3,15
09/2015;1,74 ;11,71 ;1,98 ;5,13 ;0,24 ;1,45 ;1,36 ;1,10 ;4,06 ;3,15
10/2015;1,74 ;11,86 ;2,54 ;5,24 ;0,24 ;1,25 ;1,31 ;1,29 ;4,18 ;3,29
11/2015;1,78 ;11,98 ;2,51 ;5,48 ;0,28 ;1,11 ;1,34 ;1,19 ;4,21 ;3,22
12/2015;1,71 ;12,24 ;2,11 ;5,50 ;0,31 ;1,31 ;1,31 ;1,14 ;4,14 ;3,19
01/2016;1,78 ;12,32 ;2,71 ;5,76 ;0,31 ;1,41 ;1,36 ;1,05 ;4,30 ;3,25
02/2016;1,79 ;12,45 ;2,69 ;5,96 ;0,33 ;1,31 ;1,40 ;1,33 ;4,38 ;3,31
03/2016;1,71 ;12,89 ;2,77 ;6,29 ;0,31 ;1,19 ;1,18 ;1,23 ;4,45 ;3,35
04/2016;1,78 ;13,13 ;2,94 ;6,53 ;0,30 ;1,08 ;1,23 ;1,53 ;4,54 ;3,40
05/2016;1,76 ;13,13 ;2,50 ;6,41 ;0,31 ;1,34 ;1,29 ;0,89 ;4,56 ;3,40
